"ID"	"SPY2"
"IRIS_313-10007"	7
"IRIS_313-10020"	13
"IRIS_313-10034"	12.8
"IRIS_313-10040"	5.6
"IRIS_313-10048"	11
"IRIS_313-10061"	4.8
"IRIS_313-10067"	11.4
"IRIS_313-10071"	15
"IRIS_313-10073"	3
"IRIS_313-10077"	5.2
"IRIS_313-10078"	4.2
"IRIS_313-10080"	14.4
"IRIS_313-10083"	11.4
"IRIS_313-10094"	9.4
"IRIS_313-10096"	5.6
"IRIS_313-10103"	3.8
"IRIS_313-10119"	7
"IRIS_313-10170"	4.8
"IRIS_313-10178"	5.6
"IRIS_313-10349"	4.4
"IRIS_313-10380"	6
"IRIS_313-10400"	5.4
"IRIS_313-10441"	4.6
"IRIS_313-10450"	3.4
"IRIS_313-10453"	7.4
"IRIS_313-10458"	4
"IRIS_313-10476"	11.6
"IRIS_313-10477"	4.8
"IRIS_313-10504"	5
"IRIS_313-10513"	1.4
"IRIS_313-10544"	4.8
"IRIS_313-10549"	10.2
"IRIS_313-10558"	5.8
"IRIS_313-10561"	3.4
"IRIS_313-10562"	7.2
"IRIS_313-10569"	7.8
"IRIS_313-10592"	5
"IRIS_313-10602"	11.2
"IRIS_313-10603"	3.8
"IRIS_313-10619"	13.2
"IRIS_313-10628"	6.8
"IRIS_313-10640"	7
"IRIS_313-10642"	6.8
"IRIS_313-10654"	4.4
"IRIS_313-10655"	4.8
"IRIS_313-10660"	3.8
"IRIS_313-10666"	10.8
"IRIS_313-10668"	4.4
"IRIS_313-10675"	7.2
"IRIS_313-10676"	7
"IRIS_313-10677"	4.8
"IRIS_313-10678"	7.6
"IRIS_313-10681"	4.6
"IRIS_313-10719"	13.2
"IRIS_313-10721"	8.8
"IRIS_313-10734"	11.4
"IRIS_313-10735"	3.8
"IRIS_313-10736"	5
"IRIS_313-10737"	5
"IRIS_313-10752"	6.2
"IRIS_313-10776"	3.8
"IRIS_313-10834"	4.6
"IRIS_313-10836"	6.2
"IRIS_313-10837"	4.8
"IRIS_313-10839"	6
"IRIS_313-10845"	6.4
"IRIS_313-10847"	5.8
"IRIS_313-10849"	7.6
"IRIS_313-10859"	5.2
"IRIS_313-10863"	12.2
"IRIS_313-10867"	6.4
"IRIS_313-10878"	9.4
"IRIS_313-10885"	13.8
"IRIS_313-10892"	4
"IRIS_313-10900"	13.8
"IRIS_313-10921"	2
"IRIS_313-10930"	5.2
"IRIS_313-10932"	4.8
"IRIS_313-10967"	5.4
"IRIS_313-10968"	11.6
"IRIS_313-10969"	13
"IRIS_313-10976"	10
"IRIS_313-10985"	7.2
"IRIS_313-11015"	9
"IRIS_313-11029"	5.8
"IRIS_313-11033"	9.2
"IRIS_313-11037"	7.8
"IRIS_313-11039"	4
"IRIS_313-11047"	6
"IRIS_313-11048"	12.2
"IRIS_313-11056"	7.2
"IRIS_313-11060"	8.8
"IRIS_313-11065"	6
"IRIS_313-11073"	8.6
"IRIS_313-11076"	3.8
"IRIS_313-11082"	8
"IRIS_313-11085"	7.4
"IRIS_313-11092"	4
"IRIS_313-11093"	5.8
"IRIS_313-11111"	5.8
"IRIS_313-11120"	6.8
"IRIS_313-11133"	12
"IRIS_313-11157"	14
"IRIS_313-11164"	9.2
"IRIS_313-11165"	5
"IRIS_313-11167"	5.2
"IRIS_313-11170"	13
"IRIS_313-11171"	4
"IRIS_313-11173"	12
"IRIS_313-11175"	8.4
"IRIS_313-11176"	4.6
"IRIS_313-11195"	3.8
"IRIS_313-11197"	4.2
"IRIS_313-11199"	3.8
"IRIS_313-11212"	5
"IRIS_313-11213"	4.6
"IRIS_313-11224"	4.2
"IRIS_313-11264"	8.8
"IRIS_313-11267"	5.6
"IRIS_313-11281"	9.2
"IRIS_313-11303"	5
"IRIS_313-11322"	4.2
"IRIS_313-11338"	8
"IRIS_313-11345"	4.4
"IRIS_313-11354"	1.6
"IRIS_313-11381"	5.2
"IRIS_313-11392"	6.2
"IRIS_313-11408"	12.6
"IRIS_313-11409"	8.8
"IRIS_313-11411"	5.2
"IRIS_313-11446"	14
"IRIS_313-11447"	9.8
"IRIS_313-11451"	8.6
"IRIS_313-11458"	4.4
"IRIS_313-11462"	11.2
"IRIS_313-11479"	4
"IRIS_313-11521"	2.2
"IRIS_313-11545"	8
"IRIS_313-11576"	4.2
"IRIS_313-11580"	3.4
"IRIS_313-11586"	5
"IRIS_313-11597"	3.6
"IRIS_313-11600"	4.6
"IRIS_313-11618"	5.2
"IRIS_313-11627"	7.4
"IRIS_313-11630"	5.4
"IRIS_313-11642"	7.4
"IRIS_313-11645"	5
"IRIS_313-11652"	6
"IRIS_313-11653"	8.2
"IRIS_313-11655"	1.6
"IRIS_313-11672"	4
"IRIS_313-11676"	10.4
"IRIS_313-11677"	1.4
"IRIS_313-11691"	8.2
"IRIS_313-11693"	4
"IRIS_313-11712"	5
"IRIS_313-11728"	4.8
"IRIS_313-11730"	3.8
"IRIS_313-11732"	5.2
"IRIS_313-11735"	12.2
"IRIS_313-11738"	1.2
"IRIS_313-11743"	3
"IRIS_313-11744"	13.2
"IRIS_313-11746"	7.6
"IRIS_313-11748"	1.8
"IRIS_313-11751"	7.6
"IRIS_313-11752"	4.6
"IRIS_313-11753"	5.6
"IRIS_313-11782"	8.4
"IRIS_313-11786"	6.2
"IRIS_313-11802"	8
"IRIS_313-11804"	6.2
"IRIS_313-11809"	4.2
"IRIS_313-11813"	6.4
"IRIS_313-11819"	11.2
"IRIS_313-11824"	5.2
"IRIS_313-11826"	4.4
"IRIS_313-11835"	4
"IRIS_313-11853"	4.2
"IRIS_313-11856"	5.6
"IRIS_313-11859"	13.2
"IRIS_313-11871"	4
"IRIS_313-11877"	5.2
